event_type,minute_offset,n_events,mean_cum_ret_bps,mean_abs_cum_ret_bps,std_cum_ret_bps,p90_abs
CPI,0,19,0.0,0.0,0.0,0.0
CPI,1,19,0.7718133717041367,5.712162053365052,8.273117506099238,15.157369156238998
CPI,2,19,2.4056650382140914,7.330343250265007,10.6780443586367,23.157607955319737
CPI,3,19,-0.35602862678960506,3.3876704045786514,4.340362856377557,8.618896186880498
CPI,4,19,3.7393153363788523,7.273136515938416,8.92500599686285,17.981201471188868
CPI,5,19,3.6450078649683406,9.86122704778439,11.355042539280914,18.798528810788362
CPI,6,19,2.2086731712537455,13.071511279369188,15.266061610199658,28.0615719929167
CPI,7,19,0.941129813185206,14.851041833327674,16.728462986201976,28.878899332516195
CPI,8,19,-4.731562137223769,15.896050347690908,17.813187137555126,33.364180994592814
CPI,9,19,-3.3087660596638857,14.687022553916291,16.77454545853936,27.03229263065543
CPI,10,19,-2.6273414667650563,15.589246319110027,16.826260803006196,25.856688560643715
CPI,11,19,-4.877415643418954,15.768628988918474,18.494608576849473,32.14651015537417
CPI,12,19,-3.2467352422630027,11.989937173743373,14.57222993111753,23.479062026331434
CPI,13,19,-0.4918289119806413,9.898421564310766,11.857288539339539,19.02101227449604
CPI,14,19,-1.28403554013387,11.259420898861334,12.807445682165598,20.45687009887387
CPI,15,19,-1.3383073070119105,9.429913250600562,11.929622524986373,19.239199259655226
CPI,16,19,-2.6967385340978978,11.826936878530706,13.833549891239246,23.37928011299839
CPI,17,19,-2.8449708726264205,14.890501813406244,18.03448670962272,34.09478349812534
CPI,18,19,-2.009187045436693,15.547659174879207,19.400155552578067,38.2348643514685
CPI,19,19,0.8098228201932444,17.343352463784083,21.734281740128264,40.91374019774885
CPI,20,19,-2.9904438574899688,15.816545421205936,19.028590755470365,35.555988505187045
CPI,21,19,-2.1614214010917965,14.540390133540347,18.254959124900463,32.87711265890558
CPI,22,19,-1.5528650218242146,12.269490682781848,16.507608549643216,27.353370676312938
CPI,23,19,-1.946084805490446,12.430409382471021,15.180247133352138,26.045639807326104
CPI,24,19,-0.8643853882478169,13.459818307824536,16.66485116472009,25.571087623593726
CPI,25,19,-1.257949455481785,16.005651432386912,19.6003282182711,33.120646826749756
CPI,26,19,-3.4749023298107895,17.065233425114762,20.243788044620537,34.58185183381146
CPI,27,19,-6.64658265270413,17.671622585698646,20.582138525745307,37.99133018362433
CPI,28,19,-6.546469201413184,17.749765920694593,19.892367664667518,32.633578491061414
CPI,29,19,-3.233745430232191,15.949075015302057,18.853866649036863,30.07780998670384
CPI,30,19,1.4186029520027594,17.236669302418875,19.122948276658583,27.026437959067895
CPI,31,19,0.8453801977888853,15.727884064515628,20.33050352375068,33.78304744883431
CPI,32,19,2.8659440458750645,12.575202698673275,16.834479487957466,33.67406987641708
CPI,33,19,2.8057854772182904,13.197222379541504,15.774150765317499,28.87905669013424
CPI,34,19,4.5900557620106115,11.760664717608691,15.149129535202341,31.712473572937938
CPI,35,19,4.838995639925467,11.492158719860027,14.795680546289121,31.05860813844563
