event_type,entry_offset_min,n,mae_mean,mae_p90,mfe_mean,mfe_p90,final_mean,mfe_mae_ratio
CPI,-30,19,10.721434096239392,26.49942584577292,10.39979779285143,32.96482412060264,-0.4462811923479726,0.97
CPI,-15,19,7.36014360148538,15.033604527767697,6.0102817984943995,13.942044833241685,-0.710448448478609,0.817
CPI,-10,19,4.296904418879679,10.234523005898666,5.1269975793529,11.905470563724485,-0.26650442908960376,1.193
CPI,-5,19,2.239619971859952,3.8360529965475454,2.71036361494439,5.949724825227154,0.37756918864610034,1.21
CPI,-3,19,1.7943374340899012,6.4125686345251065,2.2282468529244426,4.4279135671265735,0.2630322689106971,1.242
FED_SPEECH,-30,8,16.242411834704733,28.295232021336435,9.404061404973685,20.512986991472413,-5.2545526784227015,0.579
FED_SPEECH,-15,8,10.796555414922803,24.4755436227273,5.284992065064387,12.106443970699484,-2.1729082984794923,0.49
FED_SPEECH,-10,8,4.3091995612437595,8.904719607392138,5.90752742811479,11.806081224318365,2.1456414419834813,1.371
FED_SPEECH,-5,8,3.2568233390470325,6.959771366053746,2.1259855087565893,4.756297133212017,-0.3581174708842949,0.653
FED_SPEECH,-3,8,0.690575653490566,1.9496396962692673,1.6081440243331802,2.864026670910347,0.7912725869642367,2.329
FOMC,-30,24,9.341060134197138,18.725058835566966,10.72865841022554,18.16138460090499,1.079392630652191,1.149
FOMC,-15,24,4.890158733800489,10.43362536935388,7.412888178559193,12.479158781952826,0.8184520901478866,1.516
FOMC,-10,24,4.342870875047126,11.540457985496964,5.515198585239837,17.295018216054725,-0.38132345571331716,1.27
FOMC,-5,24,3.0646132224521523,6.339523854463678,1.058318983282643,3.150614543383056,-1.9305225529997934,0.345
FOMC,-3,24,1.8272636962069857,5.108034938958728,1.0306219632213083,2.418249724589483,-0.8369529302688453,0.564
GDP,-30,6,10.551183122784098,18.25023697356487,6.722927844128312,11.042324774719336,-2.5281419655874084,0.637
GDP,-15,6,5.534861451611529,13.26949760228957,4.991678917234769,10.46632702535355,-0.2955581923034612,0.902
GDP,-10,6,3.3118690716706554,8.86371643350814,4.077453170850953,6.778368979575289,-0.15296797616618876,1.231
GDP,-5,6,1.8928419989377998,5.678525996813399,2.919876143626284,4.522838343151703,0.09131156274766461,1.543
GDP,-3,6,2.0294889550148687,4.219232883252433,0.7757799089125328,2.0317790481305664,-1.209205582399046,0.382
NFP,-30,9,10.994433898147507,28.836504816274868,20.38882468740486,36.40593439440121,8.148383815783891,1.854
NFP,-15,9,5.664540390177337,16.13064469323411,8.957696018539155,13.025090499391823,0.5007918764058742,1.581
NFP,-10,9,5.3801369054097385,12.350008793603928,4.783788893214513,14.813011681160226,-1.3363621206932377,0.889
NFP,-5,9,4.057568593203535,7.395808529330861,1.8733263568638927,4.7371272198080145,-1.207975536515872,0.462
NFP,-3,9,0.9309866358737158,2.389756701767221,1.954281704177823,3.985880003096744,1.501381107441086,2.099
OTHER,-30,14,13.33877735485608,30.891671266386492,5.780411015780132,10.779595230177021,-3.5755696563004906,0.433
OTHER,-15,14,7.129705103053409,16.050623480876727,7.329791911314031,17.23665776902439,1.4642298855573253,1.028
OTHER,-10,14,2.7020862155559464,10.25306546180339,6.874385283977944,12.361714853844187,2.140932758119948,2.544
OTHER,-5,14,3.261205490806551,8.527495243903621,3.6393243673825206,8.922513090950938,-0.19964872167075956,1.116
OTHER,-3,14,2.3670632954768993,6.172396380950242,2.1024060874766777,7.438225307874192,-0.30717168417943824,0.888
PPI,-30,8,9.313487946771282,23.483412433182746,9.048177331351937,14.117521665136355,-5.355046264442914,0.972
PPI,-15,8,9.156685253020878,20.043563248790967,5.20382658026064,7.9969037886979955,-6.890253572616883,0.568
PPI,-10,8,10.937322417245293,25.40131218129803,3.257853480427564,6.757003344852297,-8.83286443488479,0.298
PPI,-5,8,8.123639417589313,16.198121316906782,0.26427823212299417,0.6342677570951857,-6.866739072124151,0.033
PPI,-3,8,2.2200373695509255,4.150334364804609,0.835415651950222,2.6276470869788238,-0.9609564059974429,0.376
UNEMPLOYMENT,-30,8,12.020451704655294,31.166428867535508,18.961157688812957,37.459192989228725,5.509924269770234,1.577
UNEMPLOYMENT,-15,8,6.372607938949504,17.392563107262447,8.774117937445924,13.5771688920554,-0.4213172020646472,1.377
UNEMPLOYMENT,-10,8,5.792171025231219,12.645484728588507,5.03445184705964,15.148558366927967,-1.6481201598660122,0.869
UNEMPLOYMENT,-5,8,4.304354028711183,7.667014343459732,2.107492151471879,5.739197252232707,-1.1564308707469328,0.49
UNEMPLOYMENT,-3,8,1.0473599653579302,2.603752454489183,2.111745283564226,4.873684809773014,1.6311726567806717,2.016
