timestamp,open,high,low,close,volume,trend_a,trend_b,trend_a_dir,trend_b_dir,logic_c_score,entry_dir,pnl_60m,F1_B,F2_B,F3_B,F5_A,F5_B,arm
2026-02-04 08:00:00+00:00,5106.3,5113.9,5096.7,5106.5,3153.0,True,True,-1,-1,0.694,1,-26.5,True,True,True,False,False,C_new_040
2026-02-04 13:30:00+00:00,5071.9,5087.0,5056.0,5077.0,4657.0,True,True,1,1,0.498,-1,68.60000000000036,False,True,True,False,False,C_new_040
2026-02-05 10:00:00+00:00,4875.9,4900.0,4868.0,4883.1,2366.0,False,True,0,-1,0.41600000000000004,1,28.599999999999454,True,False,True,False,False,C_new_040
2026-02-05 15:30:00+00:00,4839.5,4859.2,4820.8,4838.6,8584.0,True,True,-1,-1,0.47400000000000003,1,73.39999999999964,True,True,False,False,False,C_new_040
2026-02-05 17:30:00+00:00,4889.6,4907.5,4882.1,4891.5,3069.0,False,True,0,-1,0.41600000000000004,1,-11.100000000000364,True,False,True,False,False,C_new_040
2026-02-06 06:30:00+00:00,4871.9,4885.9,4841.0,4865.6,2986.0,True,True,-1,-1,0.41600000000000004,1,-3.300000000000182,True,False,True,False,False,C_new_040
2026-02-10 16:30:00+00:00,5032.4,5049.7,5031.0,5046.5,2070.0,False,True,0,1,0.41600000000000004,-1,-3.199999999999818,True,False,True,False,False,C_new_040
2026-02-10 17:00:00+00:00,5046.4,5062.0,5043.6,5060.0,2201.0,True,True,1,1,0.41600000000000004,-1,29.399999999999636,True,False,True,False,False,C_new_040
2026-02-10 20:30:00+00:00,5051.1,5068.9,5050.0,5052.8,2625.0,True,True,1,1,0.863,-1,4.900000000000546,False,True,True,True,True,C_new_040
2026-02-11 03:30:00+00:00,5080.3,5085.0,5077.1,5079.0,886.0,False,True,0,-1,0.41600000000000004,1,-8.399999999999636,True,False,True,False,False,C_new_040
2026-02-12 00:00:00+00:00,5083.5,5090.0,5071.0,5081.5,1584.0,True,True,-1,-1,0.498,1,-1.5,False,True,True,False,False,C_new_040
2026-02-12 15:30:00+00:00,5088.3,5098.0,5082.8,5083.9,3800.0,False,True,0,1,0.65,-1,107.59999999999945,True,True,False,False,True,C_new_040
2026-02-18 00:00:00+00:00,4876.0,4890.0,4875.8,4886.9,952.0,False,True,0,-1,0.5920000000000001,1,18.300000000000182,True,False,True,False,True,C_new_040
2026-02-20 01:30:00+00:00,5018.0,5022.1,5012.9,5015.4,706.0,True,True,-1,-1,0.41600000000000004,1,-1.699999999999818,True,False,True,False,False,C_new_040
2026-02-20 02:00:00+00:00,5015.5,5025.7,5010.6,5015.4,1091.0,False,True,0,-1,0.498,1,-5.399999999999636,False,True,True,False,False,C_new_040
2026-02-20 21:00:00+00:00,5119.6,5121.7,5114.3,5120.9,1708.0,True,True,1,1,0.498,-1,-47.20000000000073,False,True,True,False,False,C_new_040
2026-02-23 10:00:00+00:00,5170.4,5177.3,5167.1,5176.6,2670.0,True,True,1,1,0.498,-1,5.5,False,True,True,False,False,C_new_040
2026-02-24 09:00:00+00:00,5192.3,5199.4,5187.0,5187.1,1558.0,False,True,0,-1,0.41600000000000004,1,7.599999999999454,True,False,True,False,False,C_new_040
2026-02-25 12:00:00+00:00,5199.3,5205.2,5196.2,5201.5,2077.0,True,True,1,1,0.47400000000000003,-1,-4.800000000000182,True,True,False,False,False,C_new_040
2026-02-26 11:00:00+00:00,5186.8,5194.3,5184.8,5187.9,2053.0,False,True,0,-1,0.498,1,6.800000000000182,False,True,True,False,False,C_new_040
2026-02-26 19:30:00+00:00,5203.0,5211.3,5200.2,5204.2,2147.0,True,True,1,1,0.498,-1,-9.5,False,True,True,False,False,C_new_040
2026-03-02 14:30:00+00:00,5347.9,5370.1,5318.6,5345.6,14387.0,True,True,-1,-1,0.498,1,-15.900000000000546,False,True,True,False,False,C_new_040
2026-03-02 19:30:00+00:00,5345.1,5348.5,5336.6,5344.2,1805.0,False,True,0,1,0.41600000000000004,-1,-2.5,True,False,True,False,False,C_new_040
2026-03-02 20:00:00+00:00,5344.1,5360.9,5342.2,5347.7,3658.0,False,True,0,1,0.454,-1,1.0,False,True,False,False,True,C_new_040
2026-03-06 07:00:00+00:00,5124.7,5128.1,5114.0,5123.1,2281.0,True,True,-1,-1,0.498,1,-14.100000000000364,False,True,True,False,False,C_new_040
2026-03-06 16:00:00+00:00,5151.7,5163.0,5145.5,5151.8,2587.0,False,True,0,-1,0.47400000000000003,1,1.300000000000182,True,True,False,False,False,C_new_040
2026-03-16 04:00:00+00:00,5023.2,5030.1,5022.8,5025.5,987.0,True,True,1,1,0.41600000000000004,-1,10.600000000000364,True,False,True,False,False,C_new_040
2026-03-16 17:00:00+00:00,4996.1,5009.6,4995.9,5001.6,4169.0,True,True,1,1,0.47400000000000003,-1,-11.099999999999454,True,True,False,False,False,C_new_040
2026-03-17 08:00:00+00:00,5025.2,5033.5,5022.5,5025.2,2503.0,True,True,1,1,0.643,-1,3.0999999999994543,False,True,False,True,True,C_new_040
2026-03-17 08:30:00+00:00,5025.3,5029.7,5022.3,5029.0,1984.0,True,True,1,1,0.41600000000000004,-1,14.300000000000182,True,False,True,False,False,C_new_040
2026-03-17 14:30:00+00:00,5012.9,5024.3,5007.2,5012.5,3443.0,True,True,-1,-1,0.498,1,-9.899999999999636,False,True,True,False,False,C_new_040
2026-03-17 16:30:00+00:00,5008.4,5010.3,5002.0,5006.4,1909.0,False,True,0,1,0.41600000000000004,-1,-0.6000000000003638,True,False,True,False,False,C_new_040
2026-03-17 17:00:00+00:00,5006.5,5013.7,5006.1,5007.4,2847.0,False,True,0,-1,0.694,1,0.8000000000001819,True,True,True,False,False,C_new_040
2026-03-24 01:00:00+00:00,4366.6,4376.9,4330.7,4356.8,5052.0,True,True,-1,-1,0.41600000000000004,1,-3.800000000000182,True,False,True,False,False,C_new_040
2026-03-24 12:00:00+00:00,4408.2,4427.6,4396.3,4402.5,4707.0,True,True,-1,-1,0.47400000000000003,1,-44.0,True,True,False,False,False,C_new_040
2026-03-24 14:30:00+00:00,4409.4,4435.0,4400.3,4420.1,6214.0,True,True,1,1,0.498,-1,7.300000000000182,False,True,True,False,False,C_new_040
2026-03-24 15:00:00+00:00,4419.9,4421.2,4396.5,4413.8,5314.0,False,True,0,1,0.694,-1,-8.199999999999818,True,True,True,False,False,C_new_040
2026-03-24 15:30:00+00:00,4414.1,4431.2,4410.2,4412.8,4328.0,True,True,-1,-1,0.694,1,9.399999999999636,True,True,True,False,False,C_new_040
2026-03-30 04:00:00+00:00,4526.5,4528.5,4516.3,4520.6,1125.0,True,True,-1,-1,0.41600000000000004,1,14.299999999999272,True,False,True,False,False,C_new_040
2026-03-31 12:00:00+00:00,4613.3,4628.0,4601.8,4609.2,5914.0,False,True,0,1,0.454,-1,5.300000000000182,False,True,False,False,True,C_new_040
2026-03-31 13:00:00+00:00,4605.4,4617.8,4597.8,4603.9,2669.0,True,True,-1,-1,0.47400000000000003,1,37.900000000000546,True,True,False,False,False,C_new_040
2026-04-01 13:00:00+00:00,4752.1,4769.5,4743.3,4763.4,5048.0,False,True,0,1,0.41600000000000004,-1,-6.600000000000364,True,False,True,False,False,C_new_040
2026-04-01 14:00:00+00:00,4763.2,4783.0,4751.3,4770.0,5033.0,True,True,1,1,0.498,-1,-29.399999999999636,False,True,True,False,False,C_new_040
2026-04-02 06:00:00+00:00,4621.8,4625.4,4580.4,4617.8,9249.0,True,True,-1,-1,0.643,1,28.699999999999818,False,True,False,True,True,C_new_040
