timestamp,open,high,low,close,volume,trend_a,trend_b,trend_a_dir,trend_b_dir,logic_c_score,entry_dir,pnl_60m,F1_B,F2_B,F3_B,F5_A,F5_B,arm
2026-02-02 23:30:00+00:00,4762.2,4799.9,4740.2,4798.5,2405.0,True,True,1,1,0.543,-1,-4.199999999999818,False,False,True,False,False,A_old_040
2026-02-04 00:00:00+00:00,4969.9,5023.2,4966.9,5002.2,3606.0,True,True,1,1,0.543,-1,-56.600000000000364,False,False,True,False,False,A_old_040
2026-02-04 05:00:00+00:00,5100.1,5105.0,5096.4,5099.2,1797.0,False,True,0,1,0.543,-1,23.899999999999636,False,False,True,False,False,A_old_040
2026-02-04 08:00:00+00:00,5106.3,5113.9,5096.7,5106.5,3153.0,True,True,-1,-1,1.03,1,-26.5,True,True,True,False,False,A_old_040
2026-02-04 08:30:00+00:00,5106.6,5108.4,5091.1,5106.5,2850.0,False,True,0,-1,0.64,1,-24.199999999999818,False,False,False,False,True,A_old_040
2026-02-04 13:30:00+00:00,5071.9,5087.0,5056.0,5077.0,4657.0,True,True,1,1,0.8170000000000001,-1,68.60000000000036,False,True,True,False,False,A_old_040
2026-02-05 00:00:00+00:00,5033.2,5040.7,5017.6,5037.4,2272.0,False,True,0,-1,0.64,1,-64.19999999999982,False,False,False,False,True,A_old_040
2026-02-05 10:00:00+00:00,4875.9,4900.0,4868.0,4883.1,2366.0,False,True,0,-1,0.756,1,28.599999999999454,True,False,True,False,False,A_old_040
2026-02-05 15:30:00+00:00,4839.5,4859.2,4820.8,4838.6,8584.0,True,True,-1,-1,0.487,1,73.39999999999964,True,True,False,False,False,A_old_040
2026-02-05 17:00:00+00:00,4910.9,4913.3,4881.5,4889.8,4123.0,False,True,0,1,0.64,-1,-2.300000000000182,False,False,False,False,True,A_old_040
2026-02-05 17:30:00+00:00,4889.6,4907.5,4882.1,4891.5,3069.0,False,True,0,-1,0.756,1,-11.100000000000364,True,False,True,False,False,A_old_040
2026-02-06 06:00:00+00:00,4916.3,4921.6,4867.7,4873.9,4444.0,False,True,0,1,1.183,-1,-4.5,False,False,True,False,True,A_old_040
