date,source,file_path,file_size_MB,row_count,first_ts_UTC,last_ts_UTC,coverage_hours,front_symbol
2025-07-28,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250728.mbp-10.csv.zst,115.9,134476,2025-07-28T00:00:07.013576773+00:00,2025-07-28T23:59:53.684699007+00:00,24.0,GCQ5
2025-07-29,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250729.mbp-10.csv.zst,110.46,126878,2025-07-29T00:00:00.791700803+00:00,2025-07-29T23:59:55.324905024+00:00,24.0,GCZ5
2025-07-30,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250730.mbp-10.csv.zst,111.24,143500,2025-07-30T00:00:01.231292457+00:00,2025-07-30T23:59:57.414036735+00:00,24.0,GCZ5
2025-07-31,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250731.mbp-10.csv.zst,83.35,109017,2025-07-31T00:00:00.058855584+00:00,2025-07-31T23:59:55.347035679+00:00,24.0,GCZ5
2025-08-01,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250801.mbp-10.csv.zst,109.97,149164,2025-08-01T00:00:03.559426819+00:00,2025-08-01T20:59:59.679282685+00:00,21.0,GCZ5
2025-08-03,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250803.mbp-10.csv.zst,3.91,5998,2025-08-03T22:00:00.215887135+00:00,2025-08-03T23:59:53.119428382+00:00,2.0,GCZ5
2025-08-04,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250804.mbp-10.csv.zst,68.22,93457,2025-08-04T00:00:00.132754387+00:00,2025-08-04T23:59:35.768627736+00:00,23.99,GCZ5
2025-08-05,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250805.mbp-10.csv.zst,62.62,99576,2025-08-05T00:00:01.114200108+00:00,2025-08-05T23:59:56.826738471+00:00,24.0,GCZ5
2025-08-06,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250806.mbp-10.csv.zst,65.53,101710,2025-08-06T00:00:01.336869463+00:00,2025-08-06T23:59:57.857049576+00:00,24.0,GCZ5
2025-08-07,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250807.mbp-10.csv.zst,129.13,182744,2025-08-07T00:00:00.552387021+00:00,2025-08-07T23:59:59.462970914+00:00,24.0,GCZ5
2025-08-08,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250808.mbp-10.csv.zst,145.09,206022,2025-08-08T00:00:00.131403909+00:00,2025-08-08T20:59:59.466936579+00:00,21.0,GCZ5
2025-08-10,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250810.mbp-10.csv.zst,4.02,5931,2025-08-10T22:00:00.243852244+00:00,2025-08-10T23:59:57.408257573+00:00,2.0,GCZ5
2025-08-11,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250811.mbp-10.csv.zst,106.68,151643,2025-08-11T00:00:00.151086325+00:00,2025-08-11T23:59:56.541651384+00:00,24.0,GCZ5
2025-08-12,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250812.mbp-10.csv.zst,98.65,130582,2025-08-12T00:00:00.077571884+00:00,2025-08-12T23:59:55.368807399+00:00,24.0,GCZ5
2025-08-13,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250813.mbp-10.csv.zst,60.64,85122,2025-08-13T00:00:00.189962565+00:00,2025-08-13T23:59:47.400729268+00:00,24.0,GCZ5
2025-08-14,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250814.mbp-10.csv.zst,87.53,107187,2025-08-14T00:00:02.447189427+00:00,2025-08-14T23:59:57.367070554+00:00,24.0,GCZ5
