bars_dh_gt_5,date,day_dH_m30,day_dL_m30,m30_bars,max_dh_m30,max_dl_m30,mean_dh_m30,pq_H_m30,raw_H_m30,status
0,2026-02-04,0.5,-7.650000000000546,46,1.9000000000005457,7.650000000000546,0.519565217391336,5113.4,5113.9,OK
1,2026-02-05,0.1499999999996362,-0.5000000000009095,46,5.850000000000364,6.5,0.9445652173913202,5041.75,5041.9,OK
0,2026-02-06,0.050000000001091394,-1.6000000000003638,44,2.25,5.350000000000364,0.5806818181818637,4995.549999999999,4995.6,OK
,2026-02-08,,,,,,,,,PQ_EMPTY_M30
0,2026-02-09,0.9000000000005457,-1.550000000000182,46,2.300000000000182,2.100000000000364,0.664130434782573,5110.2,5111.1,OK
0,2026-02-10,0.8499999999994543,-0.8000000000001819,46,1.6499999999996362,4.100000000000364,0.46847826086952965,5101.85,5102.7,OK
0,2026-02-11,0.3999999999996362,-5.849999999999454,46,2.300000000000182,5.849999999999454,0.5413043478261581,5144.1,5144.5,OK
1,2026-02-12,0.25,-0.5500000000001819,46,6.0,2.25,0.5902173913043399,5106.45,5106.7,OK
14,2026-02-13,35.30000000000109,-0.3999999999996362,44,37.5,29.150000000000546,10.161363636363687,5033.799999999999,5069.1,OK
,2026-02-15,,,,,,,,,PQ_EMPTY_M30
0,2026-02-16,1.1000000000003638,-0.8000000000001819,41,1.550000000000182,6.850000000000364,0.3207317073170643,5050.299999999999,5051.4,OK
0,2026-02-17,0.3999999999996362,-4.550000000000182,46,2.4500000000007276,13.399999999999636,0.6499999999999525,5011.200000000001,5011.6,OK
0,2026-02-18,0.0999999999994543,0.3500000000003638,46,3.5,5.649999999999636,0.5326086956521542,5031.8,5031.9,OK
0,2026-02-19,0.5,-0.6499999999996362,46,0.9000000000005457,4.449999999999818,0.30760869565216603,5042.3,5042.8,OK
0,2026-02-20,0.3999999999996362,-0.8000000000001819,44,1.8500000000003638,1.5,0.34090909090913224,5130.6,5131.0,OK
,2026-02-22,,,,,,,,,PQ_EMPTY_M30
0,2026-02-23,0.6999999999989086,-0.5500000000001819,46,0.8999999999996362,2.699999999999818,0.2576086956520632,5268.700000000001,5269.4,OK
0,2026-02-24,0.1999999999998181,-1.449999999999818,46,2.199999999999818,4.150000000000546,0.3173913043479131,5257.2,5257.4,OK
0,2026-02-25,0.1000000000003638,-1.3499999999994543,44,1.4000000000005457,2.8499999999994543,0.35454545454535946,5237.2,5237.3,OK
