box_id,bars,first_ts,bias_native
4723,5,2025-09-01 06:00:00+00:00,unknown
4724,7,2025-09-01 22:00:00+00:00,unknown
4725,2,2025-09-02 14:30:00+00:00,unknown
4726,2,2025-09-02 19:00:00+00:00,bullish
4727,9,2025-09-03 00:00:00+00:00,bullish
4728,10,2025-09-03 06:30:00+00:00,unknown
4730,4,2025-09-03 19:00:00+00:00,bearish
4731,8,2025-09-03 22:30:00+00:00,bearish
4733,12,2025-09-04 11:30:00+00:00,bullish
4734,2,2025-09-04 18:00:00+00:00,bearish
4735,8,2025-09-04 22:30:00+00:00,unknown
4736,10,2025-09-05 07:30:00+00:00,unknown
4737,6,2025-09-05 20:30:00+00:00,bearish
4738,2,2025-09-08 06:00:00+00:00,unknown
4739,3,2025-09-08 10:30:00+00:00,bullish
4740,2,2025-09-08 12:30:00+00:00,bullish
4741,21,2025-09-08 22:30:00+00:00,unknown
4742,2,2025-09-09 09:30:00+00:00,bullish
4743,9,2025-09-09 12:30:00+00:00,unknown
4744,3,2025-09-09 19:30:00+00:00,bearish
4745,6,2025-09-10 00:30:00+00:00,unknown
4746,2,2025-09-10 04:30:00+00:00,bullish
4747,5,2025-09-10 07:00:00+00:00,bullish
4748,14,2025-09-10 10:00:00+00:00,unknown
4750,3,2025-09-10 20:00:00+00:00,bearish
4751,10,2025-09-11 00:00:00+00:00,unknown
4752,7,2025-09-11 05:30:00+00:00,unknown
4754,8,2025-09-12 01:00:00+00:00,bullish
4756,2,2025-09-12 06:30:00+00:00,bearish
4757,8,2025-09-12 08:00:00+00:00,bearish
4758,11,2025-09-12 12:30:00+00:00,unknown
4759,8,2025-09-12 19:30:00+00:00,bearish
4760,16,2025-09-15 06:00:00+00:00,unknown
4761,11,2025-09-15 23:30:00+00:00,unknown
4762,5,2025-09-16 06:30:00+00:00,bullish
4763,2,2025-09-16 22:00:00+00:00,bullish
4764,2,2025-09-16 23:30:00+00:00,bullish
4765,1,2025-09-17 01:00:00+00:00,bearish
4766,2,2025-09-17 16:00:00+00:00,unknown
4767,1,2025-09-17 18:00:00+00:00,unknown
4768,2,2025-09-18 04:30:00+00:00,unknown
4769,4,2025-09-18 08:30:00+00:00,unknown
4770,2,2025-09-18 12:30:00+00:00,bearish
4771,2,2025-09-18 19:30:00+00:00,bullish
4772,12,2025-09-18 23:00:00+00:00,unknown
4773,7,2025-09-19 13:30:00+00:00,unknown
4774,4,2025-09-19 17:30:00+00:00,bullish
4775,4,2025-09-21 22:00:00+00:00,bullish
4777,11,2025-09-22 12:00:00+00:00,unknown
4778,2,2025-09-22 18:00:00+00:00,bullish
4779,2,2025-09-23 00:00:00+00:00,unknown
4780,6,2025-09-23 01:30:00+00:00,unknown
4781,4,2025-09-23 05:30:00+00:00,bullish
4782,1,2025-09-23 08:30:00+00:00,bullish
4783,5,2025-09-23 14:00:00+00:00,bearish
4784,3,2025-09-23 17:00:00+00:00,unknown
4785,4,2025-09-23 19:00:00+00:00,bearish
4786,4,2025-09-24 05:00:00+00:00,unknown
4787,14,2025-09-24 07:30:00+00:00,unknown
4788,11,2025-09-25 00:30:00+00:00,unknown
4789,3,2025-09-25 06:30:00+00:00,bullish
4790,6,2025-09-25 18:00:00+00:00,bullish
4791,3,2025-09-25 23:30:00+00:00,bearish
4792,16,2025-09-26 06:00:00+00:00,unknown
4793,8,2025-09-26 19:00:00+00:00,unknown
4794,3,2025-09-29 00:30:00+00:00,unknown
4795,6,2025-09-29 04:30:00+00:00,bullish
4796,16,2025-09-29 09:30:00+00:00,unknown
4797,2,2025-09-30 08:00:00+00:00,unknown
4798,2,2025-09-30 13:30:00+00:00,bullish
4799,5,2025-09-30 18:30:00+00:00,bullish
4800,3,2025-09-30 23:00:00+00:00,bullish
4801,2,2025-10-01 06:30:00+00:00,unknown
4802,7,2025-10-01 11:30:00+00:00,bearish
4803,12,2025-10-01 22:00:00+00:00,bearish
4804,1,2025-10-02 14:30:00+00:00,unknown
4805,2,2025-10-02 18:30:00+00:00,bullish
4806,19,2025-10-02 23:30:00+00:00,unknown
4807,4,2025-10-03 11:00:00+00:00,unknown
4809,2,2025-10-03 19:00:00+00:00,bullish
4810,1,2025-10-05 22:30:00+00:00,bullish
4811,20,2025-10-06 04:00:00+00:00,bullish
4812,2,2025-10-06 19:00:00+00:00,bullish
4813,7,2025-10-06 23:00:00+00:00,unknown
4814,15,2025-10-07 03:30:00+00:00,unknown
4815,2,2025-10-07 12:00:00+00:00,bullish
4816,2,2025-10-07 22:30:00+00:00,bullish
4817,5,2025-10-08 00:00:00+00:00,bullish
4818,14,2025-10-08 14:00:00+00:00,unknown
4819,1,2025-10-08 22:30:00+00:00,bearish
4820,12,2025-10-09 10:30:00+00:00,unknown
4821,3,2025-10-09 19:30:00+00:00,bullish
4822,7,2025-10-10 03:00:00+00:00,unknown
4823,8,2025-10-10 07:00:00+00:00,unknown
4824,17,2025-10-10 12:30:00+00:00,unknown
4825,8,2025-10-12 22:30:00+00:00,unknown
4826,6,2025-10-13 05:00:00+00:00,bullish
4827,2,2025-10-13 09:30:00+00:00,bullish
4828,7,2025-10-13 12:00:00+00:00,bullish
4829,2,2025-10-13 22:30:00+00:00,bullish
4830,2,2025-10-14 00:00:00+00:00,bullish
4831,8,2025-10-14 12:00:00+00:00,unknown
4832,3,2025-10-14 17:00:00+00:00,bullish
4834,2,2025-10-15 17:00:00+00:00,unknown
4835,2,2025-10-15 18:30:00+00:00,bullish
4836,10,2025-10-16 00:00:00+00:00,bullish
4837,7,2025-10-16 05:30:00+00:00,bearish
4839,5,2025-10-16 13:00:00+00:00,unknown
4841,1,2025-10-17 11:00:00+00:00,bearish
4842,11,2025-10-17 20:30:00+00:00,bullish
4843,7,2025-10-20 05:30:00+00:00,bearish
4845,12,2025-10-20 18:00:00+00:00,unknown
4847,4,2025-10-21 05:30:00+00:00,bearish
4848,2,2025-10-21 12:00:00+00:00,bearish
4849,2,2025-10-21 17:00:00+00:00,bearish
4850,3,2025-10-22 03:30:00+00:00,unknown
4851,8,2025-10-22 06:30:00+00:00,unknown
4852,7,2025-10-22 13:00:00+00:00,unknown
4853,2,2025-10-22 17:00:00+00:00,bullish
4854,5,2025-10-22 18:30:00+00:00,bullish
4855,8,2025-10-23 06:00:00+00:00,unknown
4856,11,2025-10-23 10:30:00+00:00,unknown
4857,4,2025-10-23 16:30:00+00:00,bearish
4858,13,2025-10-23 20:00:00+00:00,bearish
4859,4,2025-10-24 14:00:00+00:00,unknown
4861,3,2025-10-24 17:30:00+00:00,bearish
4862,5,2025-10-24 20:00:00+00:00,bearish
4863,7,2025-10-27 08:00:00+00:00,unknown
4864,2,2025-10-27 17:30:00+00:00,bullish
4865,17,2025-10-27 20:30:00+00:00,unknown
4867,4,2025-10-29 00:00:00+00:00,unknown
4868,6,2025-10-29 02:30:00+00:00,bearish
4869,2,2025-10-29 06:00:00+00:00,bullish
4870,7,2025-10-29 13:30:00+00:00,unknown
4871,7,2025-10-30 04:00:00+00:00,unknown
4873,13,2025-10-30 09:30:00+00:00,bullish
4874,2,2025-10-30 18:00:00+00:00,bullish
4875,2,2025-10-30 19:30:00+00:00,bullish
4876,13,2025-10-30 23:30:00+00:00,unknown
4877,11,2025-10-31 06:30:00+00:00,bullish
4878,7,2025-10-31 12:30:00+00:00,bullish
4879,6,2025-10-31 16:30:00+00:00,bearish
4880,7,2025-11-02 23:30:00+00:00,bearish
4881,2,2025-11-03 03:30:00+00:00,bullish
4882,4,2025-11-03 09:30:00+00:00,unknown
4883,4,2025-11-03 12:30:00+00:00,bullish
4885,13,2025-11-03 23:00:00+00:00,unknown
4886,4,2025-11-04 12:00:00+00:00,bearish
4889,6,2025-11-05 01:00:00+00:00,unknown
4890,8,2025-11-05 08:00:00+00:00,unknown
4891,10,2025-11-05 13:30:00+00:00,bullish
4892,3,2025-11-06 06:30:00+00:00,unknown
4893,2,2025-11-06 10:30:00+00:00,bearish
4894,6,2025-11-06 12:00:00+00:00,unknown
4896,2,2025-11-06 20:30:00+00:00,bearish
4898,12,2025-11-07 00:00:00+00:00,bullish
4899,4,2025-11-07 06:30:00+00:00,bullish
4900,3,2025-11-09 23:30:00+00:00,unknown
4901,3,2025-11-10 06:00:00+00:00,bullish
4902,6,2025-11-10 08:30:00+00:00,bullish
4903,2,2025-11-10 12:00:00+00:00,bullish
4904,8,2025-11-10 23:00:00+00:00,bullish
4905,11,2025-11-11 05:30:00+00:00,bearish
4906,5,2025-11-11 12:30:00+00:00,unknown
4907,4,2025-11-11 19:30:00+00:00,bullish
4908,12,2025-11-11 23:30:00+00:00,unknown
4910,11,2025-11-13 00:30:00+00:00,unknown
4911,6,2025-11-13 14:30:00+00:00,unknown
4912,1,2025-11-13 18:30:00+00:00,bearish
4913,2,2025-11-13 23:00:00+00:00,bullish
4914,5,2025-11-14 01:30:00+00:00,bullish
4915,4,2025-11-14 05:00:00+00:00,bearish
4916,1,2025-11-14 11:30:00+00:00,bearish
4917,4,2025-11-17 03:00:00+00:00,bearish
4918,25,2025-11-17 05:30:00+00:00,unknown
4919,1,2025-11-17 19:00:00+00:00,bearish
4920,3,2025-11-18 00:00:00+00:00,bearish
4921,8,2025-11-18 02:30:00+00:00,bearish
4922,9,2025-11-18 07:00:00+00:00,unknown
4923,12,2025-11-18 12:00:00+00:00,unknown
4924,2,2025-11-18 19:30:00+00:00,bullish
4925,2,2025-11-18 21:00:00+00:00,bearish
4926,9,2025-11-19 02:30:00+00:00,unknown
4927,8,2025-11-19 07:30:00+00:00,unknown
4928,3,2025-11-19 14:30:00+00:00,unknown
4929,6,2025-11-20 02:00:00+00:00,unknown
4930,7,2025-11-20 07:30:00+00:00,bearish
4931,5,2025-11-20 16:30:00+00:00,unknown
4932,3,2025-11-20 19:30:00+00:00,bullish
4933,7,2025-11-21 01:00:00+00:00,unknown
4934,4,2025-11-21 06:00:00+00:00,unknown
4935,6,2025-11-21 09:00:00+00:00,unknown
4936,2,2025-11-21 12:30:00+00:00,bullish
4937,4,2025-11-24 15:30:00+00:00,unknown
4938,3,2025-11-24 18:30:00+00:00,unknown
4939,9,2025-11-24 21:00:00+00:00,bullish
4940,2,2025-11-25 23:00:00+00:00,unknown
4941,5,2025-11-26 01:00:00+00:00,bullish
4942,9,2025-11-26 06:00:00+00:00,bearish
4943,9,2025-11-26 12:30:00+00:00,unknown
4946,20,2025-11-27 01:30:00+00:00,bearish
4947,6,2025-11-27 15:00:00+00:00,unknown
4948,2,2025-11-27 23:00:00+00:00,bullish
4949,2,2025-12-01 00:30:00+00:00,unknown
4950,8,2025-12-01 08:00:00+00:00,unknown
4951,8,2025-12-01 12:30:00+00:00,unknown
4952,8,2025-12-01 23:30:00+00:00,bearish
4953,8,2025-12-02 06:00:00+00:00,unknown
4955,3,2025-12-02 20:30:00+00:00,bullish
4956,6,2025-12-03 01:00:00+00:00,bullish
4957,4,2025-12-03 05:00:00+00:00,bearish
4958,4,2025-12-04 03:00:00+00:00,bearish
4959,6,2025-12-04 05:30:00+00:00,bearish
4961,11,2025-12-04 12:30:00+00:00,unknown
4962,2,2025-12-04 23:30:00+00:00,bearish
4963,10,2025-12-05 01:00:00+00:00,unknown
4964,7,2025-12-05 08:30:00+00:00,bearish
4965,4,2025-12-05 12:30:00+00:00,bullish
4966,2,2025-12-05 20:00:00+00:00,bearish
4967,2,2025-12-05 21:30:00+00:00,bearish
4968,8,2025-12-08 00:30:00+00:00,bullish
4969,4,2025-12-08 05:30:00+00:00,unknown
4970,10,2025-12-08 08:00:00+00:00,bearish
4971,3,2025-12-08 13:30:00+00:00,bearish
4972,12,2025-12-09 05:00:00+00:00,unknown
4973,10,2025-12-09 14:00:00+00:00,unknown
4974,2,2025-12-09 19:30:00+00:00,bullish
4975,11,2025-12-10 02:30:00+00:00,unknown
4976,19,2025-12-10 08:30:00+00:00,bearish
4977,3,2025-12-10 18:30:00+00:00,unknown
4978,4,2025-12-11 00:00:00+00:00,bullish
4979,5,2025-12-11 02:30:00+00:00,bearish
4981,13,2025-12-11 08:30:00+00:00,bullish
4982,2,2025-12-11 20:00:00+00:00,bearish
4983,2,2025-12-11 21:30:00+00:00,bullish
4984,5,2025-12-12 01:00:00+00:00,bearish
4985,7,2025-12-12 04:30:00+00:00,unknown
4986,6,2025-12-15 00:30:00+00:00,bullish
4987,5,2025-12-15 05:00:00+00:00,bullish
4988,2,2025-12-15 13:30:00+00:00,unknown
4989,9,2025-12-16 14:00:00+00:00,unknown
4990,18,2025-12-17 01:00:00+00:00,unknown
4992,3,2025-12-17 13:30:00+00:00,bullish
4993,2,2025-12-17 21:00:00+00:00,bullish
4994,6,2025-12-18 00:30:00+00:00,bearish
4995,16,2025-12-18 08:00:00+00:00,unknown
4996,9,2025-12-19 00:30:00+00:00,bearish
4997,3,2025-12-19 05:30:00+00:00,bullish
4998,12,2025-12-19 09:30:00+00:00,bullish
4999,3,2025-12-19 19:00:00+00:00,bearish
5000,2,2025-12-19 21:00:00+00:00,bearish
5001,1,2025-12-21 23:30:00+00:00,bullish
5003,6,2025-12-22 12:30:00+00:00,bullish
5005,3,2025-12-22 21:30:00+00:00,bullish
5006,7,2025-12-23 05:30:00+00:00,unknown
5007,3,2025-12-23 09:30:00+00:00,bearish
5008,2,2025-12-23 13:00:00+00:00,unknown
5009,3,2025-12-23 19:00:00+00:00,bullish
5010,11,2025-12-23 23:30:00+00:00,unknown
5011,2,2025-12-24 05:30:00+00:00,bearish
5012,2,2025-12-24 08:30:00+00:00,bearish
5013,4,2025-12-24 10:00:00+00:00,bullish
5014,3,2025-12-25 23:00:00+00:00,unknown
5015,2,2025-12-26 06:00:00+00:00,bullish
5016,11,2025-12-26 10:00:00+00:00,unknown
5018,3,2025-12-29 05:30:00+00:00,bearish
5019,4,2025-12-29 11:30:00+00:00,bearish
5021,9,2025-12-30 00:00:00+00:00,bullish
5022,14,2025-12-30 05:00:00+00:00,unknown
5023,12,2025-12-30 12:30:00+00:00,unknown
5024,4,2025-12-30 19:30:00+00:00,bearish
5025,13,2025-12-30 23:00:00+00:00,unknown
5026,4,2025-12-31 10:00:00+00:00,unknown
5028,9,2025-12-31 13:30:00+00:00,bullish
5029,6,2026-01-01 23:00:00+00:00,unknown
5030,4,2026-01-02 03:00:00+00:00,bullish
5031,3,2026-01-02 05:30:00+00:00,bullish
5032,2,2026-01-02 13:30:00+00:00,unknown
5033,2,2026-01-02 20:00:00+00:00,bullish
5034,1,2026-01-02 21:30:00+00:00,bullish
5036,4,2026-01-05 06:00:00+00:00,bullish
5037,5,2026-01-05 08:30:00+00:00,bullish
5038,2,2026-01-05 11:30:00+00:00,bearish
5039,2,2026-01-05 21:30:00+00:00,bullish
5040,6,2026-01-06 02:00:00+00:00,unknown
5041,19,2026-01-06 08:00:00+00:00,unknown
5042,4,2026-01-06 20:30:00+00:00,unknown
5044,2,2026-01-07 04:30:00+00:00,bearish
5045,15,2026-01-07 11:30:00+00:00,unknown
5046,6,2026-01-08 01:30:00+00:00,unknown
5047,14,2026-01-08 05:00:00+00:00,bearish
5048,3,2026-01-08 18:30:00+00:00,bearish
5049,3,2026-01-08 20:30:00+00:00,bullish
5050,3,2026-01-09 13:30:00+00:00,unknown
5051,4,2026-01-09 18:00:00+00:00,bearish
5052,2,2026-01-09 20:30:00+00:00,bullish
5053,1,2026-01-12 00:00:00+00:00,bullish
5054,7,2026-01-12 07:30:00+00:00,bullish
5055,4,2026-01-12 11:30:00+00:00,unknown
5056,5,2026-01-12 20:00:00+00:00,bearish
5057,13,2026-01-13 05:00:00+00:00,unknown
5058,2,2026-01-13 12:30:00+00:00,unknown
5060,4,2026-01-13 23:30:00+00:00,bullish
5061,13,2026-01-14 04:00:00+00:00,bullish
5062,11,2026-01-14 14:30:00+00:00,unknown
5063,4,2026-01-14 21:00:00+00:00,bearish
5065,4,2026-01-15 06:00:00+00:00,bullish
5066,11,2026-01-15 13:30:00+00:00,unknown
5067,5,2026-01-15 20:30:00+00:00,bearish
5069,6,2026-01-16 06:00:00+00:00,unknown
5070,11,2026-01-16 09:30:00+00:00,unknown
5071,1,2026-01-19 00:30:00+00:00,bullish
5072,2,2026-01-19 05:00:00+00:00,bullish
5073,17,2026-01-19 17:30:00+00:00,unknown
5074,3,2026-01-20 23:30:00+00:00,unknown
5075,5,2026-01-21 14:30:00+00:00,unknown
5076,3,2026-01-21 23:30:00+00:00,bearish
5077,13,2026-01-22 05:30:00+00:00,unknown
5078,6,2026-01-22 12:30:00+00:00,unknown
5079,4,2026-01-22 21:00:00+00:00,bullish
5080,1,2026-01-23 07:30:00+00:00,unknown
5081,1,2026-02-02 18:30:00+00:00,bearish
5082,1,2026-02-02 23:30:00+00:00,bullish
5083,4,2026-02-03 06:00:00+00:00,bullish
5084,3,2026-02-04 00:00:00+00:00,unknown
5085,2,2026-02-04 04:30:00+00:00,bullish
5086,4,2026-02-04 07:00:00+00:00,unknown
5087,3,2026-02-04 09:30:00+00:00,bearish
5088,4,2026-02-04 12:30:00+00:00,bearish
5089,2,2026-02-04 21:30:00+00:00,bullish
5090,3,2026-02-04 23:30:00+00:00,bullish
5091,1,2026-02-05 01:30:00+00:00,bearish
5092,3,2026-02-05 06:00:00+00:00,unknown
5094,4,2026-02-05 09:30:00+00:00,bearish
5095,10,2026-02-05 13:30:00+00:00,unknown
5096,6,2026-02-05 19:30:00+00:00,bearish
5097,5,2026-02-06 05:30:00+00:00,bullish
5098,4,2026-02-06 08:30:00+00:00,bullish
5099,4,2026-02-06 11:00:00+00:00,bullish
5100,10,2026-02-06 13:30:00+00:00,bullish
5102,1,2026-02-09 00:00:00+00:00,bullish
5103,3,2026-02-09 05:30:00+00:00,bullish
5104,11,2026-02-09 07:30:00+00:00,bearish
5105,4,2026-02-09 14:00:00+00:00,unknown
5107,7,2026-02-10 16:00:00+00:00,unknown
5108,4,2026-02-10 20:30:00+00:00,bullish
