timestamp,asset,direction,decision,lots,entry,sl,tp1,tp2,result,pnl,gate_score,leg1_ticket,leg2_ticket,leg3_ticket
2026-03-31T15:09:57.950050+00:00,AX1,SHORT,CONFIRMED,0.02,4614.49,4633.68,4593.68,4563.68,tp1_hit,4.77,5,1716492590,1716492601,0
2026-03-31T15:11:20.422832+00:00,AX1,SHORT,CONFIRMED,0.02,4616.39,4634.58,4594.58,4564.58,tp1_hit,2.08,5,1716500693,1716500730,0
2026-03-31T15:12:03.329262+00:00,AX1,SHORT,CONFIRMED,0.02,4617.07,4635.46,4595.46,4565.46,tp1_hit,5.26,5,1716504014,1716504029,0
2026-03-31T15:13:05.475591+00:00,AX1,SHORT,CONFIRMED,0.02,4618.09,4639.27,4599.27,4569.27,tp1_hit,0.23,5,1716510290,1716510320,0
2026-03-31T15:14:20.015833+00:00,AX1,SHORT,CONFIRMED,0.02,4621.21,4639.16,4599.16,4569.16,tp1_hit,6.69,5,1716519189,1716519546,0
2026-03-31T15:15:17.142881+00:00,AX1,SHORT,CONFIRMED,0.02,4622.55,4643.52,4603.52,4573.52,tp1_hit,8.81,5,1716530670,1716530697,0
2026-03-31T15:16:10.059482+00:00,AX1,SHORT,CONFIRMED,0.02,4623.32,4645.39,4605.39,4575.39,tp1_hit,9.43,5,1716536978,1716537056,0
2026-03-31T15:17:24.643700+00:00,AX1,SHORT,CONFIRMED,0.02,4617.32,4639.35,4599.35,4569.35,tp1_hit,4.19,5,1716546276,1716546303,0
2026-03-31T15:18:25.056713+00:00,AX1,SHORT,CONFIRMED,0.02,4620.75,4641.27,4601.27,4571.27,tp1_hit,4.22,5,1716552061,1716552083,0
2026-03-31T15:19:18.510240+00:00,AX1,SHORT,CONFIRMED,0.02,4621.37,4641.82,4601.82,4571.82,tp1_hit,6.16,5,1716556259,1716556288,0
2026-03-31T15:27:51.629788+00:00,AX1,SHORT,CONFIRMED,0.02,4610.98,4632.12,4592.12,4562.12,sl_hit,-16.74,5,1716600948,1716601011,0
2026-03-31T15:28:42.639694+00:00,AX1,SHORT,CONFIRMED,0.02,4609.56,4628.48,4588.48,4558.48,sl_hit,-18.71,5,1716606678,1716606689,0
2026-03-31T15:29:30.249320+00:00,AX1,SHORT,CONFIRMED,0.02,4611.22,4631.61,4591.61,4561.61,sl_hit,-15.42,5,1716609700,1716609722,0
2026-03-31T15:30:43.523436+00:00,AX1,SHORT,CONFIRMED,0.02,4610.0,4628.9,4588.9,4558.9,sl_hit,-18.44,5,1716615730,1716615795,0
