timestamp,asset,direction,decision,lots,entry,sl,tp1,tp2,result,pnl,gate_score,leg1_ticket,leg2_ticket,leg3_ticket
2026-04-09T14:30:10.367459+00:00,AX1,LONG,CONFIRMED,0.05,4764.99,4758.0,4785.16,4794.3,open,0.0,0,172767630,172767632,172767634
2026-04-10T11:41:22.660978+00:00,AX1,SHORT,CONFIRMED,0.05,4761.45,4776.88,4736.88,4706.88,open,0.0,2,1762288474,1762288510,1762288525
2026-04-10T11:41:24.344496+00:00,AX1,SHORT,CONFIRMED,0.05,4761.47,4776.89,4736.89,4706.89,open,0.0,2,1762288609,1762288626,1762288658
2026-04-10T12:00:08.147904+00:00,AX1,LONG,CONFIRMED,0.05,4767.27,4762.51,4785.22,4778.55,open,0.0,0,173262320,173262325,173262332
2026-04-10T12:54:22.364237+00:00,AX1,SHORT,CONFIRMED,0.05,4768.98,4787.02,4747.02,4717.02,open,0.0,3,1762728978,1762729135,1762729190
2026-04-10T13:33:41.039888+00:00,AX1,SHORT,CONFIRMED,0.05,4773.1,4793.74,4753.74,4723.74,open,0.0,1,1762991374,1762991380,1762991388
2026-04-10T13:51:54.264113+00:00,AX1,SHORT,CONFIRMED,0.05,4772.34,4787.84,4747.84,4717.84,open,0.0,1,1763121764,1763121772,1763121784
2026-04-10T13:57:52.565949+00:00,AX1,SHORT,CONFIRMED,0.05,4776.78,4789.84,4749.84,4719.84,open,0.0,2,1763153392,1763153396,1763153409
2026-04-10T14:26:43.778775+00:00,AX1,SHORT,CONFIRMED,0.05,4790.07,4814.85,4774.85,4744.85,open,0.0,6,1763377620,1763377692,1763377829
