entry_ts,direction,entry_price,sl,tp1,tp2,atr_m30,score,score_detail,exit_ts,exit_reason,exit_price,pnl_usd,duration_min,capital_after
2025-09-09 15:16:00+00:00,SHORT,3667.7,3670.375,3654.7,3649.9,11.14999999999993,2,mom+2 no_iceberg_data,2025-09-09 15:18:00+00:00,SL_HIT,3670.375,-13.37500000000091,2,986.6249999999991
2025-10-10 17:01:00+00:00,SHORT,3993.1,3998.1035714285713,3982.25,3967.8,17.207142857142895,1,mom+1 no_modifier,2025-10-10 17:16:00+00:00,SL_HIT,3998.1035714285713,-25.017857142856883,15,961.6071428571422
2025-10-22 23:11:00+00:00,SHORT,4104.2,4112.553571428572,4087.8999999999996,4075.3999999999996,19.907142857142876,1,mom+1 no_iceberg_data,2025-10-22 23:13:00+00:00,SL_HIT,4112.553571428572,-41.7678571428587,2,919.8392857142835
2025-10-23 01:22:00+00:00,SHORT,4103.9,4112.282142857143,4087.8999999999996,4075.3999999999996,19.36428571428584,1,mom+1 no_iceberg_data,2025-10-23 03:14:00+00:00,TP1_THEN_BE,4103.9,32.0,112,951.8392857142835
2025-10-24 17:44:00+00:00,SHORT,4128.1,4135.178571428572,4106.85,4096.4,20.357142857142858,1,mom+1 no_iceberg_data,2025-10-24 20:59:00+00:00,TIMEOUT,4126.9,6.000000000003638,195,957.8392857142871
2025-10-28 05:00:00+00:00,SHORT,3986.8,3998.457142857143,3973.35,3962.1,15.914285714285695,1,mom+1 no_iceberg_data,2025-10-28 06:39:00+00:00,TP1_THEN_TP2,3962.1,101.00000000000136,99,1058.8392857142885
2025-10-28 23:00:00+00:00,SHORT,3953.8,3962.3214285714284,3943.7,3934.6,15.242857142857215,1,mom+1 no_iceberg_data,2025-10-28 23:10:00+00:00,SL_HIT,3962.3214285714284,-42.6071428571413,10,1016.2321428571472
2025-10-31 03:13:00+00:00,SHORT,4006.1,4015.05,3991.4,3982.3,15.099999999999909,2,mom+2 no_iceberg_data,2025-10-31 03:36:00+00:00,SL_HIT,4015.05,-44.750000000001364,23,971.4821428571458
2025-10-31 04:13:00+00:00,SHORT,4005.1,4015.25,3991.4,3982.3,15.499999999999934,1,mom+1 no_iceberg_data,2025-10-31 04:31:00+00:00,SL_HIT,4015.25,-50.750000000000455,18,920.7321428571454
2025-11-03 11:02:00+00:00,SHORT,4008.2,4008.953571428571,3994.2,3989.5,11.507142857142851,1,mom+1 no_iceberg_data,2025-11-03 11:04:00+00:00,SL_HIT,4008.953571428571,-3.767857142856883,2,916.9642857142885
