entry_ts,direction,entry_price,sl,tp1,tp2,atr_m30,score,score_detail,exit_ts,exit_reason,exit_price,pnl_usd,duration_min,leg1_closed_at,mfe_pts,mae_pts,capital_after
2025-09-09 15:16:00+00:00,SHORT,3667.7,3675.9500000000003,3654.7,3649.9,11.14999999999993,2,mom+2 no_iceberg_data,2025-09-09 15:17:00+00:00,L2_DANGER_PRE_SHIELD,3665.7,10.0,1,,2.0,2.0,1010.0
2025-10-10 17:11:00+00:00,SHORT,3994.5,4006.707142857143,3982.25,3967.8,17.207142857142895,1,mom+1 no_modifier,2025-10-10 17:38:00+00:00,SL_HIT,4006.707142857143,-61.03571428571513,27,,1.0,12.5,948.9642857142849
2025-10-22 23:14:00+00:00,SHORT,4107.4,4122.507142857144,4087.8999999999996,4075.3999999999996,19.907142857142876,2,mom+2 no_iceberg_data,2025-10-22 23:28:00+00:00,GIVEBACK_PRE_SHIELD,4105.7,8.49999999999909,14,,11.0,1.5,957.464285714284
2025-10-23 01:24:00+00:00,SHORT,4106.8,4121.964285714286,4087.8999999999996,4075.3999999999996,19.36428571428584,2,mom+2 no_iceberg_data,2025-10-23 01:46:00+00:00,GIVEBACK_PRE_SHIELD,4102.4,22.00000000000273,22,,13.600000000000364,1.800000000000182,979.4642857142867
2025-10-24 17:44:00+00:00,SHORT,4128.1,4145.357142857143,4106.85,4096.4,20.357142857142858,1,mom+1 no_iceberg_data,2025-10-24 17:57:00+00:00,L2_DANGER_PRE_SHIELD,4126.6,7.5,13,,4.400000000000546,4.799999999999272,986.9642857142867
2025-10-24 18:49:00+00:00,SHORT,4125.8,4144.528571428571,4106.85,4096.4,19.52857142857137,1,mom+1 no_iceberg_data,2025-10-24 19:46:00+00:00,L2_DANGER_PRE_SHIELD,4121.9,19.50000000000273,57,,4.5,7.899999999999636,1006.4642857142894
2025-10-28 05:12:00+00:00,SHORT,3992.3,4006.4142857142856,3973.35,3962.1,15.914285714285695,1,mom+1 no_iceberg_data,2025-10-28 05:24:00+00:00,GIVEBACK_PRE_SHIELD,3988.5,19.00000000000091,12,,9.0,2.799999999999727,1025.4642857142903
2025-10-28 23:04:00+00:00,SHORT,3957.2,3969.942857142857,3943.7,3934.6,15.242857142857215,1,mom+1 no_iceberg_data,2025-10-28 23:07:00+00:00,L2_DANGER_PRE_SHIELD,3958.7,-7.5,3,,1.699999999999818,2.400000000000091,1017.9642857142903
2025-10-31 03:16:00+00:00,SHORT,4008.9,4022.6,3991.4,3982.3,15.099999999999909,2,mom+2 no_iceberg_data,2025-10-31 04:31:00+00:00,L2_DANGER_PRE_SHIELD,4017.1,-40.99999999999909,75,,7.0,9.299999999999727,976.9642857142912
2025-10-31 05:05:00+00:00,SHORT,4012.4,4023.15,3991.4,3982.3,15.649999999999961,2,mom+2 no_iceberg_data,2025-10-31 05:47:00+00:00,L2_DANGER_PRE_SHIELD,4022.6,-50.99999999999909,42,,6.200000000000273,10.299999999999727,925.9642857142921
2025-11-03 11:02:00+00:00,SHORT,4008.2,4014.7071428571426,3994.2,3989.5,11.507142857142851,1,mom+1 no_iceberg_data,2025-11-03 11:18:00+00:00,SL_HIT,4014.7071428571426,-32.535714285713766,16,,2.299999999999727,7.700000000000273,893.4285714285784
2025-11-17 07:16:00+00:00,SHORT,4076.1,4089.0428571428574,4056.6,4046.5,12.442857142857195,1,mom+1 no_iceberg_data,2025-11-17 07:36:00+00:00,L2_DANGER_PRE_SHIELD,4080.4,-21.50000000000091,20,,1.699999999999818,4.400000000000091,871.9285714285775
2025-11-17 11:46:00+00:00,SHORT,4080.4,4090.778571428572,4056.6,4046.5,14.178571428571493,1,mom+1 no_iceberg_data,2025-11-17 11:52:00+00:00,L2_DANGER_PRE_SHIELD,4086.0,-27.999999999999545,6,,2.300000000000182,6.0,843.9285714285779
2025-11-17 12:50:00+00:00,SHORT,4079.1,4089.3428571428576,4056.6,4046.5,12.742857142857181,1,mom+1 no_iceberg_data,2025-11-17 13:03:00+00:00,SL_HIT,4089.3428571428576,-51.21428571428851,13,,2.799999999999727,10.900000000000091,792.7142857142894
2025-11-20 02:44:00+00:00,SHORT,4060.2,4072.392857142857,4047.35,4034.0,15.692857142857227,2,mom+2 no_iceberg_data,2025-11-20 03:00:00+00:00,SL_HIT,4072.392857142857,-60.964285714285325,16,,1.3999999999996362,12.800000000000182,731.7500000000041
2025-11-26 15:03:00+00:00,SHORT,4177.9,4186.25,4168.25,4161.1,12.350000000000104,1,mom+1 no_iceberg_data,2025-11-26 15:07:00+00:00,T3_DEFENSE_PRE_SHIELD,4178.7,-4.0000000000009095,4,,3.7999999999992724,0.9000000000005457,727.7500000000032
2025-12-08 15:17:00+00:00,SHORT,4213.1,4220.035714285715,4198.5,4190.4,9.735714285714428,1,mom+1 no_iceberg_data,2025-12-08 15:22:00+00:00,SL_HIT,4220.035714285715,-34.67857142857156,5,,0.4000000000005457,8.199999999999818,693.0714285714316
2025-12-30 16:50:00+00:00,SHORT,4386.1,4399.857142857143,4369.95,4363.4,15.557142857143065,1,mom+1 no_modifier,2025-12-30 18:49:00+00:00,GIVEBACK_PRE_SHIELD,4382.1,20.0,119,,8.100000000000364,11.699999999999818,713.0714285714316
2026-01-05 13:30:00+00:00,SHORT,4410.25,4420.757142857144,4399.450000000001,4394.6,11.557142857142935,1,mom+1 no_modifier,2026-01-05 13:35:00+00:00,SL_HIT,4420.757142857144,-52.53571428571831,5,,1.75,11.050000000000182,660.5357142857133
2026-01-16 16:07:00+00:00,SHORT,4592.6,4607.135714285715,4571.025,4567.65,18.285714285714675,1,mom+1 no_modifier,2026-01-16 17:22:00+00:00,GIVEBACK_PRE_SHIELD,4588.049999999999,22.750000000005457,75,,9.350000000000364,11.25,683.2857142857188
2026-02-05 17:11:00+00:00,SHORT,4894.299999999999,4922.1,4852.475,4826.55,43.69999999999982,1,mom+1 no_modifier,2026-02-05 19:06:00+00:00,GIVEBACK_PRE_SHIELD,4882.6,58.49999999999454,115,,27.69999999999891,12.550000000001091,741.7857142857133
2026-02-13 07:17:00+00:00,SHORT,4987.05,5006.385714285714,4965.75,4952.65,21.185714285714507,1,mom+1 no_modifier,2026-02-13 08:09:00+00:00,SL_HIT,5006.385714285714,-96.67857142856974,52,,3.4000000000005457,19.849999999999454,645.1071428571436
2026-02-16 05:06:00+00:00,SHORT,4999.1,5010.0714285714275,4985.025,4975.75,14.771428571428585,1,mom+1 no_modifier,2026-02-16 06:03:00+00:00,SL_HIT,5010.0714285714275,-54.85714285713584,57,,1.9000000000005457,12.349999999999454,590.2500000000077
2026-02-24 23:02:00+00:00,SHORT,5147.6,5163.771428571428,5130.225,5118.3,13.471428571428532,1,mom+1 no_modifier,2026-02-24 23:42:00+00:00,SL_HIT,5163.771428571428,-80.85714285713948,40,,2.1500000000005457,18.449999999999818,509.39285714286825
2026-03-05 06:31:00+00:00,SHORT,5149.6,5162.196428571428,5129.424999999999,5101.0,16.896428571428583,1,mom+1 no_modifier,2026-03-05 06:38:00+00:00,SL_HIT,5162.196428571428,-62.98214285714039,7,,0.7000000000007276,12.600000000000364,446.41071428572786
2026-03-16 07:41:00+00:00,SHORT,4996.8,5010.817857142857,4981.125,4970.65,17.567857142857196,1,mom+1 no_modifier,2026-03-16 09:17:00+00:00,GIVEBACK_PRE_SHIELD,4990.75,30.25000000000091,96,,12.900000000000546,11.0,476.6607142857288
2026-03-16 14:55:00+00:00,SHORT,4998.2,5013.421428571429,4981.125,4970.65,20.17142857142861,1,mom+1 no_modifier,2026-03-16 16:38:00+00:00,GIVEBACK_AFTER_SHIELD,4988.8,62.349999999998545,103,4981.125,19.550000000000182,12.5,539.0107142857273
2026-03-17 16:02:00+00:00,SHORT,4997.55,5008.882142857144,4980.799999999999,4974.549999999999,14.682142857143,1,mom+1 no_modifier,2026-03-17 16:29:00+00:00,SL_HIT,5008.882142857144,-56.660714285717404,27,,1.449999999999818,12.25,482.3500000000099
